danceability,energy,key,mode,speechiness,instrumentalness,liveness,tempo,loudness,acousticness,valence,duration_ms,Is_Popular,track_genre
0.489,0.164,10,1,0.0278,0.0,0.129,91.449,-16.996,0.83,0.519,145053,0,honky-tonk
0.41,0.226,2,1,0.0333,0.0,0.186,83.798,-11.33,0.874,0.353,147013,0,honky-tonk
0.554,0.344,2,1,0.0319,0.0,0.166,115.212,-9.304,0.602,0.407,184026,0,honky-tonk
0.524,0.248,6,1,0.0264,0.0,0.108,104.158,-10.776,0.922,0.461,159960,0,honky-tonk
0.657,0.342,8,1,0.0274,8.14e-06,0.112,105.927,-13.269,0.404,0.528,174893,0,honky-tonk
0.627,0.293,7,1,0.0323,1.49e-06,0.402,119.316,-9.374,0.57,0.496,189440,0,honky-tonk
0.291,0.2,6,1,0.0297,1.2e-05,0.112,72.078,-14.747,0.612,0.262,255373,0,honky-tonk
0.527,0.542,10,1,0.0329,0.0,0.0768,156.421,-6.801,0.583,0.924,147253,0,honky-tonk
0.536,0.307,7,1,0.031,0.0,0.337,120.991,-12.155,0.494,0.614,148533,0,honky-tonk
0.59,0.594,0,1,0.0645,4.51e-05,0.26,128.157,-8.321,0.321,0.9,149306,0,honky-tonk
0.518,0.948,6,0,0.0676,0.0996,0.228,103.025,-5.579,0.00512,0.548,201400,0,alt-rock
0.45,0.769,2,1,0.0592,0.0,0.306,107.05,-4.797,0.562,0.604,285357,0,ska
0.702,0.562,9,0,0.538,9.26e-06,0.0715,138.148,-8.636,0.168,0.498,228466,0,j-dance
0.55,0.624,2,1,0.0406,0.0,0.123,125.008,-5.372,0.0372,0.34,203362,0,dance
0.635,0.701,10,1,0.0268,4.91e-05,0.165,151.894,-5.969,0.253,0.633,221773,0,rock
0.176,0.753,0,1,0.044,0.839,0.199,102.101,-5.754,1.07e-05,0.47,129639,0,garage
0.262,0.825,9,1,0.0438,0.848,0.0722,98.681,-5.739,1.27e-06,0.394,144908,0,power-pop
0.709,0.761,1,1,0.273,3.11e-05,0.0698,93.101,-3.69,0.0702,0.697,201560,0,trip-hop
0.604,0.704,5,1,0.0477,0.0,0.137,80.93,-6.564,0.241,0.399,220413,0,british
0.677,0.63,6,1,0.789,0.0,0.1,70.581,-9.64,0.134,0.711,207586,0,comedy
0.674,0.708,1,1,0.0664,0.0068,0.181,110.437,-10.751,0.0392,0.688,338973,0,detroit-techno
0.596,0.74,8,1,0.0338,2.05e-05,0.102,118.031,-6.127,0.341,0.493,208106,0,piano
0.636,0.708,6,1,0.0512,0.0,0.117,94.987,-7.057,0.0818,0.662,255693,0,piano
0.262,0.677,7,1,0.0528,0.0,0.205,207.478,-5.645,0.447,0.365,197146,0,piano
0.666,0.868,0,1,0.0446,0.0113,0.0736,134.649,-12.483,0.0354,0.863,301440,0,detroit-techno
0.273,0.196,9,0,0.0347,0.0,0.105,72.124,-7.528,0.885,0.421,249026,0,piano
0.681,0.664,0,1,0.0922,0.0,0.0772,118.33,-8.036,0.299,0.729,184906,0,hard-rock
0.428,0.414,7,0,0.0403,0.0,0.238,79.108,-5.729,0.897,0.508,175021,0,blues
0.611,0.826,11,0,0.0353,0.016,0.33,129.102,-5.313,0.000818,0.719,211487,0,rock
0.416,0.954,7,0,0.0467,0.0,0.177,144.724,-3.157,0.0021,0.498,310346,0,alt-rock
0.649,0.421,6,1,0.035,0.799,0.116,146.11,-11.98,0.0288,0.234,223773,0,trip-hop
0.391,0.384,9,0,0.931,0.0,0.756,170.27,-12.102,0.812,0.241,121080,0,comedy
0.499,0.983,1,0,0.0882,0.000246,0.0728,129.903,-3.662,0.000123,0.0378,177440,0,alt-rock
0.395,0.625,1,0,0.0341,0.00124,0.11,139.729,-7.134,0.242,0.314,373133,0,british
0.687,0.606,7,1,0.0262,0.000326,0.083,80.569,-5.92,0.178,0.748,206306,0,electronic
0.404,0.68,0,1,0.0856,0.0536,0.112,154.728,-5.708,0.029,0.539,224628,0,trip-hop
0.576,0.784,5,0,0.0341,0.0012,0.31,143.416,-7.085,0.000133,0.493,217133,0,swedish
0.673,0.122,0,1,0.0344,0.000108,0.115,84.289,-16.406,0.837,0.35,299973,0,bluegrass
0.546,0.14,2,0,0.0401,5.8e-06,0.0773,114.317,-18.215,0.813,0.133,233586,0,bluegrass
0.691,0.495,2,1,0.0293,1.59e-05,0.198,119.859,-6.595,0.839,0.611,201386,0,bluegrass
0.65,0.506,9,0,0.0392,5.45e-06,0.217,134.078,-6.71,0.691,0.799,228040,0,bluegrass
0.703,0.225,4,0,0.0511,4.59e-06,0.102,143.248,-11.366,0.731,0.399,174026,0,piano
0.513,0.917,10,1,0.0505,7.1e-05,0.309,96.022,-3.612,5.86e-05,0.481,192506,0,metalcore
0.325,0.536,5,1,0.0323,0.0,0.251,101.483,-6.04,0.614,0.218,169293,0,funk
0.541,0.485,0,1,0.0372,0.0,0.634,87.577,-13.161,0.353,0.211,293773,0,funk
0.549,0.891,6,1,0.0351,0.00323,0.0661,111.996,-4.044,0.0141,0.508,197106,0,blues
0.739,0.806,2,1,0.0309,0.000176,0.442,137.524,-5.723,0.255,0.807,212760,0,swedish
0.724,0.724,0,1,0.0304,0.0,0.121,117.986,-6.378,0.294,0.927,251786,0,swedish
0.429,0.789,6,1,0.0346,0.00568,0.0474,125.613,-6.446,0.226,0.467,295280,0,swedish
0.597,0.628,7,1,0.0348,0.151,0.085,98.004,-6.924,0.00109,0.0529,264840,0,electronic
0.677,0.649,10,0,0.0316,0.0433,0.288,107.986,-7.865,0.0416,0.651,253773,0,electronic
0.546,0.969,11,0,0.0512,5.11e-05,0.142,114.984,-5.05,0.00196,0.46,268426,0,industrial
0.487,0.729,10,1,0.0316,9.79e-05,0.134,144.043,-6.046,0.126,0.339,273893,0,singer-songwriter
0.521,0.72,2,1,0.0254,0.0114,0.391,97.577,-7.699,0.00352,0.609,328426,0,blues
0.419,0.737,9,1,0.0364,0.00716,0.24,157.991,-7.09,0.204,0.595,287426,0,blues
0.359,0.611,6,0,0.0389,0.0254,0.0898,93.05,-7.676,0.206,0.427,256768,0,pop
0.715,0.911,7,1,0.0654,4.01e-06,0.17,124.03,-7.496,0.0351,0.532,131146,0,industrial
0.723,0.617,11,1,0.0301,0.0,0.252,100.015,-8.312,0.566,0.677,286973,0,rock
0.411,0.767,3,1,0.056,0.00842,0.134,134.408,-4.211,0.000621,0.659,322613,0,alt-rock
0.529,0.982,9,1,0.0368,0.0,0.0807,118.668,-2.129,0.0206,0.792,316520,0,metal
0.553,0.991,8,1,0.0925,0.0729,0.179,114.919,-3.703,4.44e-05,0.324,287066,0,alternative
0.579,0.978,0,0,0.0548,0.000141,0.0955,125.073,-5.327,8.55e-05,0.558,222893,0,alt-rock
0.626,0.4,7,1,0.0251,0.0,0.151,97.565,-6.689,0.798,0.401,250026,0,country
0.668,0.614,7,0,0.0522,0.000168,0.312,95.073,-5.492,0.36,0.5,258760,0,trip-hop
0.733,0.888,11,0,0.0726,0.294,0.107,121.063,-4.438,0.00245,0.799,213120,0,trip-hop
0.554,0.898,0,1,0.0474,0.833,0.478,113.289,-7.642,0.00732,0.853,199893,0,trip-hop
